row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,max_cost_usd,sdk_package,label
metronome_new_09,metronome,Metronome,A traditional pyramid-cased metronome on a flat stepped base. A slender pendulum rod rises through the apex slot carrying a disc-shaped tempo weight; a cylindrical winding key protrudes from the rear lower face. The pendulum swings on a revolute joint at the apex pivot shaft; the weight rides prismatically along the rod; the key turns continuously on its shaft.,openai,gpt-5.4,high,60,2.0,sdk,Pyramid disc-weight rear-key — pendulum revolute weight prismatic key continuous
metronome_new_10,metronome,Metronome,A wide studio metronome with a broad squat pyramid housing and a large front tempo-scale cutout. A pendulum rod carrying a large cylindrical weight protrudes from the housing top; a winding key sits flush on the right side panel. The pendulum swings on a revolute joint at the top interior pivot; the weight rides prismatically along the rod; the key rotates continuously about its side-face axis.,openai,gpt-5.4,high,60,2.0,sdk,Wide squat pyramid large cylindrical weight side key — pendulum revolute weight prismatic key continuous
metronome_new_11,metronome,Metronome,A Maelzel-style pyramid metronome with a tall tapered housing and a prominent open apex slot. The pendulum rod carries a cone-shaped sliding weight above the pivot and a fixed cylindrical counterweight below the pivot; a winding key protrudes from the lower rear face. The pendulum pivots on a revolute joint at the internal housed shaft; the cone weight slides prismatically along the upper rod; the key turns continuously.,openai,gpt-5.4,high,60,2.0,sdk,Maelzel pyramid cone-weight fixed counterweight below pivot — pendulum revolute weight prismatic key continuous
metronome_new_12,metronome,Metronome,A compact travel metronome with a short rectangular housing and a fold-flat hinged foot stand at the base. A thin pendulum rod with a disc-shaped weight swings from a top interior pivot; a cylindrical winding key sits flush in the back face. The stand rotates on a revolute hinge at the housing bottom; the pendulum swings on a revolute joint at the top shaft; the weight rides prismatically on the rod; the key turns continuously.,openai,gpt-5.4,high,60,2.0,sdk,Compact travel metronome fold-flat stand — stand revolute pendulum revolute weight prismatic key continuous
metronome_new_13,metronome,Metronome,A conductor's metronome with an oversized stepped-pyramid housing on a wide flat plinth. A thick pendulum rod carries a hexagonal sliding weight and swings from an apex pivot shaft; a winding key protrudes from the lower right side face. The pendulum rotates on a revolute joint at the apex shaft; the weight translates prismatically along the rod; the key rotates continuously on its side-face shaft.,openai,gpt-5.4,high,60,2.0,sdk,Conductor stepped-pyramid hexagonal weight side key — pendulum revolute weight prismatic key continuous
metronome_new_14,metronome,Metronome,A cylindrical-bodied metronome with a round housing on a disc base and a vertical pendulum slot cut through the front face. A pendulum rod with a ring-shaped cylindrical weight protrudes upward through the slot; a winding crown knob sits atop the housing. The pendulum pivots on a revolute joint at the central shaft inside the housing; the ring weight slides prismatically along the rod; the crown knob rotates continuously about the vertical top-face axis.,openai,gpt-5.4,high,60,2.0,sdk,Cylindrical body ring-weight crown knob on top — pendulum revolute weight prismatic crown continuous
metronome_new_15,metronome,Metronome,A box metronome with a hinged transparent front panel. A rectangular upright housing on a flat base carries a pendulum rod with a wedge-shaped weight swinging from the upper internal pivot; the front panel opens on a horizontal bottom-edge revolute hinge to reveal the escapement gear wheel inside. The pendulum pivots on a revolute joint at the upper shaft; the weight slides prismatically; the front panel rotates on its bottom-edge hinge; the side winding key turns continuously.,openai,gpt-5.4,high,60,2.0,sdk,Box housing hinged front panel gear visible — pendulum revolute weight prismatic panel revolute key continuous
metronome_new_16,metronome,Metronome,A pyramid metronome with a hinged front access panel flush with the tapered housing face. A tapered housing on a rectangular base carries a pendulum rod with a cylindrical sliding weight through the apex slot; a front panel covers the lower housing face and opens on a vertical-edge revolute hinge for servicing. The pendulum swings on a revolute joint at the apex shaft; the weight slides prismatically on the rod; the front door opens on its vertical-edge hinge; the winding key on the rear face turns continuously.,openai,gpt-5.4,high,60,2.0,sdk,Pyramid hinged front access door — pendulum revolute weight prismatic door revolute key continuous
metronome_new_17,metronome,Metronome,"A box metronome with a hinged top lid that conceals the winding key. A rectangular upright housing on a flat base carries a pendulum rod with a cylindrical sliding weight from an upper internal pivot; the lid opens rearward on a horizontal revolute hinge at the housing top, revealing a winding key set into the lid face. The pendulum pivots on a revolute joint at the upper shaft; the weight slides prismatically; the lid opens on its rear hinge; the key turns continuously.",openai,gpt-5.4,high,60,2.0,sdk,Box housing hinged top lid key in lid — pendulum revolute weight prismatic lid revolute key continuous
metronome_new_18,metronome,Metronome,A low wide-profile metronome with a nearly flat tapered housing and a wide horizontal pendulum slot across the front face. A pendulum rod with a flat rectangular sliding weight swings through the slot from an internal center pivot; a winding key sits flush in the top face. The pendulum rotates on a revolute joint at the internal center shaft; the weight slides prismatically along the rod; the key turns continuously about the top-face axis.,openai,gpt-5.4,high,60,2.0,sdk,Low wide flat-profile wide horizontal slot rectangular weight — pendulum revolute weight prismatic key continuous
metronome_new_19,metronome,Metronome,"A pyramid metronome with two folding stabilizer legs at the base rear corners for use on angled surfaces. A tapered housing carries a pendulum rod with a cylindrical sliding weight above the apex; two flat legs fold outward from the base rear corners on revolute hinges, folding flush for transport. The pendulum pivots on a revolute at the housing-top shaft; the weight slides prismatically along the rod; each stabilizer leg rotates on a revolute at its base-corner hinge; the rear winding key turns continuously.",openai,gpt-5.4,high,60,2.0,sdk,Pyramid two folding stabilizer legs — pendulum revolute weight prismatic legs revolute key continuous
metronome_new_20,metronome,Metronome,A tall box-style metronome with an open vertical slot in the front face exposing the full pendulum travel. A rectangular housing on a low rectangular foot carries a slim pendulum rod with a wedge-shaped weight through the front slot; a round winding key is centered on the left side face. The pendulum pivots on a revolute joint at the upper interior shaft; the weight slides prismatically along the rod; the key rotates continuously about its side-face axis.,openai,gpt-5.4,high,60,2.0,sdk,Tall box front slot wedge weight left side key — pendulum revolute weight prismatic key continuous
floodlight_new_01,floodlight_mast_with_tilt_head,Floodlight mast with tilt head,A portable site floodlight on a single telescoping mast with a tripod base. A three-leg tripod base carries a two-stage telescoping column; a rectangular lamp head at the top mounts on a tilt yoke. The inner mast section slides prismatically upward from the outer section; the lamp head tilts on a horizontal revolute joint at the yoke pins.,openai,gpt-5.4,high,60,2.0,sdk,Portable telescoping mast tripod base tilt head — mast prismatic lamp tilt revolute
floodlight_new_02,floodlight_mast_with_tilt_head,Floodlight mast with tilt head,A wheeled studio floodlight with a fixed column on a four-wheel dolly and a pan-and-tilt lamp head. A pan bracket at the column top rotates continuously on a vertical axis; a rectangular lamp head tilts on a horizontal revolute joint at the pan bracket ears. The four dolly wheels rotate continuously on their axle joints.,openai,gpt-5.4,high,60,2.0,sdk,Wheeled dolly fixed column pan-tilt head — wheels continuous pan continuous lamp tilt revolute
floodlight_new_03,floodlight_mast_with_tilt_head,Floodlight mast with tilt head,A twin-head floodlight mast with a fixed pole on a weighted base plate and two independent lamp heads on separate side-extending arms at different heights. Each arm rotates on a horizontal revolute joint where it meets the mast; each lamp head tilts on a horizontal revolute joint at the arm tip.,openai,gpt-5.4,high,60,2.0,sdk,Fixed pole twin independent tilt arms at different heights — arm revolute head tilt revolute
floodlight_new_04,floodlight_mast_with_tilt_head,Floodlight mast with tilt head,A construction area tower light with a two-section telescoping mast on a folding cross-base and a wide rectangular lamp panel at the top. The inner mast section slides prismatically from the outer section; the lamp panel tilts on a horizontal revolute joint at the mast-head yoke; each of the four cross-base legs folds on a revolute hinge at the base collar.,openai,gpt-5.4,high,60,2.0,sdk,Two-section telescoping mast folding cross-base lamp panel tilt — mast prismatic panel tilt revolute legs revolute
floodlight_new_05,floodlight_mast_with_tilt_head,Floodlight mast with tilt head,A stadium floodlight mast with a tall fixed column and a pan-and-tilt head carrying a wide rectangular lamp array. The lamp array tilts on a horizontal revolute joint at the sides of the pan bracket; the pan bracket rotates continuously on a vertical joint at the column top; a safety lockout arm on the pan bracket side pivots on a revolute hinge.,openai,gpt-5.4,high,60,2.0,sdk,Stadium fixed column pan-tilt lamp array lockout arm — lamp tilt revolute pan continuous lockout revolute
cannon_new_01,cannon,Cannon,A Napoleonic-era wheeled field cannon with a two-wheel wooden carriage and a cast smooth-bore barrel. The barrel rests on trunnions at the carriage cheeks and elevates on a revolute joint about the transverse trunnion axis; a quoin wedge beneath the breech slides prismatically along the carriage bed; the two spoked wheels each rotate continuously on their axle.,openai,gpt-5.4,high,60,2.0,sdk,Napoleonic field cannon two spoked wheels quoin elevation — barrel revolute quoin prismatic wheels continuous
