row_id,category_slug,category_title,prompt,provider,model_id,thinking_level,max_turns,sdk_package,label
branching_tree_with_three_independent_rotary_branches_mechanical_fresh_01,branching_tree_with_three_independent_rotary_branches,Branching tree with three independent rotary branches,"Design a realistic, highly detailed branching tree with three independent rotary branches as a standalone mechanical study assembly for the sdk_hybrid pipeline, with a central hub spine feeding three rigid rotary branch arms on separate axes. Each branch should turn from its own supported hub with offset bearing housings and clearly separated motion envelopes. Emphasize rigid brackets, exposed bearing hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus a triangulated backbone, limit stops, and cable-free branch interfaces. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Branching tree with three independent rotary branches Mechanical Fresh 1
branching_tree_with_two_independent_rotary_branches_mechanical_fresh_01,branching_tree_with_two_independent_rotary_branches,Branching tree with two independent rotary branches,"Design a realistic, highly detailed branching tree with two independent rotary branches as a standalone mechanical study assembly for the sdk_hybrid pipeline, with a central structural node feeding two independently rotating branch arms from a shared backbone. Both branches should rotate from visibly separate hubs, shafts, and side supports so the independent axes are unmistakable. Emphasize rigid brackets, exposed bearing hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus split bearing carriers, brace ribs, stop tabs, and rigid branch-end mounting pads. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Branching tree with two independent rotary branches Mechanical Fresh 1
cantilever_articulated_arm_mechanical_fresh_01,cantilever_articulated_arm,Cantilever articulated arm,"Design a realistic, highly detailed cantilever articulated arm as a standalone mechanical study assembly for the sdk_hybrid pipeline, with a cantilever base column, offset shoulder bracket, and two long rigid arm links carrying a compact tool flange. The arm joints should pivot from obvious clevises, trunnions, and bearing cartridges. Emphasize rigid brackets, exposed bearing hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus counterweight pockets, ribbed side plates, and cable-guide channels along the links. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Cantilever articulated arm Mechanical Fresh 1
coaxial_rotary_stack_mechanical_fresh_01,coaxial_rotary_stack,Coaxial rotary stack,"Design a realistic, highly detailed coaxial rotary stack as a standalone mechanical study assembly for the sdk_hybrid pipeline, with stacked concentric rotary stages sharing a common vertical axis inside nested housings. Each rotary stage should read through separate bearing diameters, spacers, and hub interfaces. Emphasize rigid brackets, exposed bearing hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus retainer rings, index bands, and split clamp collars. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Coaxial rotary stack Mechanical Fresh 1
dual_independent_finger_chains_mechanical_fresh_01,dual_independent_finger_chains,Dual independent finger chains,"Design a realistic, highly detailed dual independent finger chains assembly as a standalone mechanical study assembly for the sdk_hybrid pipeline, with a palm-like base carrying two separate serial finger chains side by side. Each finger chain should articulate through exposed knuckle barrels and isolated hinge axes rather than a soft organic hand. Emphasize rigid brackets, exposed bearing hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus base mounting lugs, linkage shields, and segmented pad blocks. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Dual independent finger chains Mechanical Fresh 1
dualcolumn_lift_carriage_mechanical_fresh_01,dualcolumn_lift_carriage,Dual-column lift carriage,"Design a realistic, highly detailed dual-column lift carriage as a standalone mechanical study assembly for the sdk_hybrid pipeline, with two vertical guide columns tied by top and bottom crossmembers and a central moving carriage. The carriage should travel on visible guide blocks or bushings with a clear lift drive path. Emphasize rigid brackets, exposed guide hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus synchronizing cross-shaft housings, hard stops, and bolted carriage plates. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Dual-column lift carriage Mechanical Fresh 1
dualrail_gantry_axis_mechanical_fresh_01,dualrail_gantry_axis,Dual-rail gantry axis,"Design a realistic, highly detailed dual-rail gantry axis as a standalone mechanical study assembly for the sdk_hybrid pipeline, with a rigid bridge carriage spanning two parallel rails and a moving center truck. The center truck should slide on obvious linear bearings while the rail supports stay straight and load-bearing. Emphasize rigid brackets, exposed guide hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus end stops, rail wipers, cable tray brackets, and stiffened bridge members. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Dual-rail gantry axis Mechanical Fresh 1
fingerlike_phalanx_chain_mechanical_fresh_01,fingerlike_phalanx_chain,Finger-like phalanx chain,"Design a realistic, highly detailed finger-like phalanx chain as a standalone mechanical study assembly for the sdk_hybrid pipeline, with a segmented phalanx-style linkage made from tapered rigid sections and discrete hinge knuckles. Each segment should rotate from visible pins, cheeks, and stop features so it reads as a test mechanism rather than a biological finger. Emphasize rigid brackets, exposed hinge hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus joint spacers, tendon-guide stand-ins, and protective caps. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Finger-like phalanx chain Mechanical Fresh 1
folding_arm_chain_mechanical_fresh_01,folding_arm_chain,Folding arm chain,"Design a realistic, highly detailed folding arm chain as a standalone mechanical study assembly for the sdk_hybrid pipeline, with a collapsible multi-link arm built from flat link pairs and folding knuckle joints. Every fold joint should be explicit, nested, and limited by mechanical stops. Emphasize rigid brackets, exposed hinge hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus lock tabs, hinge cheeks, and slim reinforcing ribs. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Folding arm chain Mechanical Fresh 1
fourjoint_revolute_chain_mechanical_fresh_01,fourjoint_revolute_chain,Four-joint revolute chain,"Design a realistic, highly detailed four-joint revolute chain as a standalone mechanical study assembly for the sdk_hybrid pipeline, with four serial rotary joints connecting rigid box-section links in a compact armature. The four pivots should use visible hubs, axle bosses, and bracket spacing so the kinematic chain is unmistakable. Emphasize rigid brackets, exposed bearing hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus joint covers, datum faces, and mounting feet. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Four-joint revolute chain Mechanical Fresh 1
gear_assemblies_mechanical_fresh_01,gear_assemblies,Gear Assemblies,"Design a realistic, highly detailed gear assemblies study as a standalone mechanical study assembly for the sdk_hybrid pipeline, with a meshing gear train that combines several spur and bevel stages inside a rigid transmission frame. Every rotating member should sit on believable shafts, bearing blocks, and gear meshes with clear center distances. Emphasize rigid brackets, exposed bearing hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus inspection covers, split housings, keyed hubs, and torque-arm brackets. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Gear Assemblies Mechanical Fresh 1
joystick_mechanism_mechanical_fresh_01,joystick_mechanism,Joystick mechanism,"Design a realistic, highly detailed joystick mechanism as a standalone mechanical study assembly for the sdk_hybrid pipeline, with a gimballed control-stick mechanism built around an orthogonal pivot cage and central shaft. Pitch and roll should read through nested yokes, trunnions, and return-spring anchor points. Emphasize rigid brackets, exposed pivot hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus boot retention rings, centering hardware, and switch-free mechanical detailing. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Joystick mechanism Mechanical Fresh 1
lever_chain_mechanical_fresh_01,lever_chain,Lever chain,"Design a realistic, highly detailed lever chain as a standalone mechanical study assembly for the sdk_hybrid pipeline, with a serial linkage of pivoting levers transferring motion through staggered rocker arms. Each lever should rotate on clear fulcrum pins with coupler links or follower tabs showing the motion path. Emphasize rigid brackets, exposed pivot hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus stop pads, spacer washers, and slotted adjustment holes. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Lever chain Mechanical Fresh 1
linear_carriage_with_independent_rotary_endeffector_mechanical_fresh_01,linear_carriage_with_independent_rotary_endeffector,Linear carriage with independent rotary end-effector,"Design a realistic, highly detailed linear carriage with independent rotary end-effector as a standalone mechanical study assembly for the sdk_hybrid pipeline, with a linear axis carrying a separate rotary wrist module at the carriage face. The carriage slide and the end rotary axis should be independently supported by visible rails, hubs, and bearing housings. Emphasize rigid brackets, exposed guide hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus a tooling faceplate, cable-loop stand-ins, and end-stop blocks. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Linear carriage with independent rotary end-effector Mechanical Fresh 1
mastmounted_fork_carriage_mechanical_fresh_01,mastmounted_fork_carriage,Mast-mounted fork carriage,"Design a realistic, highly detailed mast-mounted fork carriage as a standalone mechanical study assembly for the sdk_hybrid pipeline, with a vertical mast frame, nested channels, and a fork-style moving carriage. The carriage should ride on rollers or guide shoes with a clear lift path and rigid fork support frame. Emphasize rigid brackets, exposed guide hardware, removable access covers, and disciplined machined-or-fabricated hard-surface geometry, plus chain anchor brackets, a load-backrest structure, and heel gussets. Keep it as a pure mechanical assembly with explicit joints, guides, bearings, brackets, and support structure. Avoid product styling, decorative housings, or recognizable household or device forms.",openai,gpt-5.4,high,50,sdk,Mast-mounted fork carriage Mechanical Fresh 1
